 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
175,1.6688831,4.0912661,3.8803904,.2371083,-.1498829,-.2273817,3.8287011,1.1885597,.3476371,3.1205502,3.4400000
176,1.7965642,4.3965691,4.0645434,.2541277,-.1176497,-.1949308,3.8287011,1.2936300,.3405063,3.2668011,3.4400000
177,1.9467859,4.7550541,4.2546381,.2828333,-.0770770,-.1632173,3.8287011,1.4053590,.3332377,3.4167776,3.4400000
178,1.8412067,4.4913917,4.4014877,.2706802,-.2322347,-.1440978,3.8287011,1.4955759,.3275912,3.6472532,3.4400000
179,1.4697263,3.5944468,3.8938954,.2305822,-.3508603,-.1356863,3.8287011,1.5686744,.3231545,3.1428944,3.4400000
180,1.4579008,3.5831301,3.2356983,.1092529,.0318047,-.1515585,3.8287011,1.5444294,.3246126,2.6301314,3.4400000
181,1.9775221,4.8502017,3.4164655,.1229542,.4616815,-.1852015,3.8287011,1.4691084,.3292278,2.7527076,3.4400000
182,2.0782227,5.0869255,4.5529021,.1663100,.0521523,-.1727766,3.8287011,1.5560389,.3239128,3.6937725,3.4400000
183,2.0225031,4.9468650,4.4848428,.1573833,.0320477,-.1744418,3.8287011,1.6082024,.3208050,3.6507669,3.4400000
184,2.0772183,5.0861158,4.1599631,.1621340,.2161690,-.1939984,3.8287011,1.5903600,.3218613,3.3765649,3.4400000
185,2.1119339,5.1729262,4.4659747,.1538970,.1355640,-.1969814,3.8287011,1.6170558,.3202835,3.6284283,3.4400000
186,1.7734249,4.3563871,3.9597682,.1201302,.0426495,-.2008832,3.8287011,1.6433887,.3187422,3.2176278,3.4400000
187,1.2558998,3.1038009,2.8804182,.0817246,.0094671,-.2014589,3.8287011,1.6638665,.3175539,2.3263937,3.4400000
188,1.6034718,3.9424457,3.8387729,.1300504,-.0877580,-.2081320,3.8287011,1.6881113,.3161583,3.0693070,3.4400000
189,1.8578262,4.5522315,4.3131809,.1392122,-.0422228,-.2184584,3.8287011,1.7030561,.3153042,3.4789918,3.4400000
190,1.9573694,4.7879576,4.3242521,.1314518,.0587294,-.2243605,3.8287011,1.7356087,.3134595,3.5247459,3.4400000
191,1.7154389,4.2135536,3.9224510,.1189547,-.0003425,-.2279126,3.8287011,1.7584836,.3121762,3.1766788,3.4400000
192,1.6714895,4.1017546,3.7969420,.1118609,.0134352,-.2336839,3.8287011,1.7756252,.3112214,3.0848767,3.4400000
193,1.3638575,3.3635994,3.1452159,.0774913,.0116571,-.2344122,3.8287011,1.8029208,.3097129,2.5338411,3.4400000
194,1.5792943,3.8814648,3.7063626,.1088058,-.0375871,-.2382914,3.8287011,1.8328208,.3080772,2.9743027,3.4400000
195,1.7621037,4.3192761,4.0155782,.1215900,.0028731,-.2432032,3.8287011,1.8626165,.3064644,3.2453126,3.4400000
196,1.7374733,4.2577829,3.9291352,.1297604,.0049038,-.2447736,3.8287011,1.9014013,.3043900,3.1794731,3.4400000
197,1.7137250,4.1946014,3.8604048,.1426121,-.0056154,-.2458489,3.8287011,1.9451078,.3020859,3.1262904,3.4400000
198,1.6795072,4.1190496,3.7484042,.1195656,.0323350,-.2467663,3.8287011,1.9924501,.2996291,3.0426127,3.4400000
199,1.6161606,3.9703890,3.5669974,.1244632,.0400818,-.2498056,3.8287011,1.9958498,.2994542,2.8807762,3.4400000
200,1.5081536,3.6976963,3.6049859,.1350670,-.0969430,-.2473116,3.8287011,2.0490222,.2967452,2.8999473,3.4400000
201,1.7243619,4.2228666,3.8107764,.1390825,.0284937,-.2465691,3.8287011,2.1117716,.2936106,3.0526007,3.4400000
202,1.6131115,3.9360886,3.8164441,.1580553,-.1099240,-.2509715,3.8287011,2.1142989,.2934858,3.0745076,3.4400000
203,1.6208573,3.9522562,3.4813219,.1458302,.0471369,-.2460599,3.8287011,2.1811407,.2902216,2.8115283,3.4400000
204,1.7099415,4.1625226,3.4655517,.1907855,.0960172,-.2474012,3.8287011,2.1816880,.2901952,2.8434300,3.4400000
