Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
102.98,.1916149,.1622835,.1384313,.1174440,.0996416,.0845351,.0717010,.0608305,.0516208,.0113984,.0104989,.0000000,.0000000,.0000000,.0000000
103.98,.1915924,.1622489,.1384440,.1174548,.0996507,.0845428,.0717065,.0608352,.0516255,.0113995,.0104998,.0000000,.0000000,.0000000,.0000000
104.98,.0000000,.2007019,.1712552,.1452915,.1232678,.1045793,.0887009,.0752531,.0638607,.0141011,.0129883,.0000000,.0000000,.0000000,.0000000
105.98,.0000000,.0000000,.2142575,.1817743,.1542206,.1308394,.1109723,.0941480,.0798962,.0176420,.0162497,.0000000,.0000000,.0000000,.0000000
106.98,.0000000,.2005967,.1712779,.1453108,.1232845,.1045935,.0887118,.0752623,.0638694,.0141031,.0129901,.0000000,.0000000,.0000000,.0000000
107.98,.0000000,.2005967,.1712780,.1453108,.1232844,.1045934,.0887118,.0752623,.0638694,.0141031,.0129901,.0000000,.0000000,.0000000,.0000000
108.98,.1914234,.1621984,.1384915,.1174951,.0996852,.0845721,.0717294,.0608546,.0516434,.0114034,.0105035,.0000000,.0000000,.0000000,.0000000
109.98,.1914346,.1621497,.1384996,.1175019,.0996910,.0845770,.0717335,.0608581,.0516464,.0114041,.0105041,.0000000,.0000000,.0000000,.0000000
110.98,.1913578,.1622969,.1384853,.1174898,.0996797,.0845674,.0717255,.0608513,.0516406,.0114028,.0105029,.0000000,.0000000,.0000000,.0000000
111.98,.1916572,.1622377,.1384335,.1174459,.0996434,.0845366,.0716981,.0608281,.0516218,.0113987,.0104991,.0000000,.0000000,.0000000,.0000000
112.98,.1915237,.1622643,.1384569,.1174657,.0996596,.0845504,.0717099,.0608381,.0516302,.0114005,.0105008,.0000000,.0000000,.0000000,.0000000
113.98,.1914133,.1622449,.1384845,.1174892,.0996797,.0845674,.0717244,.0608503,.0516406,.0114028,.0105029,.0000000,.0000000,.0000000,.0000000
114.98,.1912940,.1621790,.1385246,.1175232,.0997086,.0845919,.0717440,.0608670,.0516556,.0114061,.0105060,.0000000,.0000000,.0000000,.0000000
115.98,.1911979,.1621494,.1385514,.1175458,.0997280,.0846084,.0717580,.0608789,.0516657,.0114084,.0105080,.0000000,.0000000,.0000000,.0000000
116.98,.1910908,.1621199,.1385810,.1175710,.0997494,.0846265,.0717723,.0608910,.0516769,.0114108,.0105103,.0000000,.0000000,.0000000,.0000000
117.98,.1909848,.1620299,.1386232,.1176068,.0997801,.0846526,.0717931,.0609087,.0516929,.0114143,.0105136,.0000000,.0000000,.0000000,.0000000
118.98,.1907168,.1618917,.1387095,.1176800,.0998430,.0847059,.0718385,.0609472,.0517255,.0114216,.0105202,.0000000,.0000000,.0000000,.0000000
