TIMESTAMP,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,RNET.y,SkyT,Tcan_Avg_corr,Tair,RH
2.02E+11,0,0,0,298.8,318.6,-19.787,-3.567870547,NA,1.72,81.23
2.02E+11,0,0,0,301.17,318.2,-17.047,-3.035186835,NA,1.52,82.37
2.02E+11,0,0,0,295.07,316.37,-21.317,-4.41268392,NA,1.09,85.5
2.02E+11,0,0,0,273.63,315.17,-41.513,-9.43049382,NA,1.01,85.93
2.02E+11,0,0,0,279.07,315.97,-36.93,-8.130151354,NA,1.3,83.93
2.02E+11,0,0,0,294.5,316.43,-21.957,-4.542488541,NA,1.27,84.2
2.02E+11,0,0,0,294.97,315.83,-20.873,-4.43544305,NA,1.12,81.83
2.02E+11,0,0,0,299.57,316.4,-16.84,-3.394458101,NA,1.27,81.27
2.02E+11,4.7973,0,0,300.6,318.13,-17.583,-3.163012712,NA,1.57,78.73
2.02E+11,32.753,11.576,0.96267,299.87,318.8,-8.3053,-3.326985301,NA,1.83,81.43
2.02E+11,75.593,31.94,2.8637,298.2,318.73,8.5423,-3.70322961,NA,1.7,84.33
2.02E+11,132.79,60.057,7.3543,300.43,319.53,33.597,-3.201171411,NA,1.8,84.3
2.02E+11,208.62,97.2,13.11,294.53,320.47,58.173,-4.535652024,NA,1.96,83.5
2.02E+11,263.04,123.47,16.07,284.97,321.37,71.047,-6.741169027,NA,2.22,80.97
2.02E+11,260.35,121.53,15.507,287.3,322.5,70.813,-6.198576883,NA,2.48,80.9
2.02E+11,423.68,201.2,27.023,286.43,323.93,136.67,-6.400788239,NA,2.73,82.07
2.02E+11,374.7,178.57,24.33,282.37,325.77,110.8,-7.350578963,NA,3.18,80.1
2.02E+11,378.09,181.13,25.56,283.57,326.33,112.83,-7.068792179,NA,3.65,76.6
2.02E+11,366.71,176.87,24.237,273.23,325.8,100.07,-9.52686999,NA,3.35,79.2
2.02E+11,444.26,214.07,29.183,278.33,328.2,135.03,-8.305912714,NA,3.79,77.6
2.02E+11,437.67,210.7,29.707,282.77,331.5,132.27,-7.256550412,NA,4.69,69.72
2.02E+11,415.8,200.57,29.813,301.47,332.07,140.13,-2.967982923,NA,4.75,66.98
2.02E+11,344.1,165.63,25.61,306.5,332.73,113.79,-1.848597579,NA,4.88,63.79
2.02E+11,198.22,97.467,14.61,303.7,331.1,55.453,-2.46999954,NA,4.51,67.14
2.02E+11,104.23,51.047,7.5813,287.73,328.73,2.4943,-6.098802886,NA,4.13,70.9
2.02E+11,38.275,17.68,2.912,288.73,327.63,-24.147,-5.867202038,NA,3.93,73.03
2.02E+11,4.8584,0,0,283.77,325.47,-41.72,-7.021914706,NA,3.89,73.41
2.02E+11,0,0,0,317.37,327.4,-10.007,0.524166463,NA,4.2,69.81
2.02E+11,0,0,0,317.5,330.23,-12.717,0.552172167,NA,4.59,65.92
2.02E+11,0,0,0,310.4,329.6,-19.183,-0.990129666,NA,4.38,68.46
2.02E+11,0,0,0,317.07,328.5,-11.435,0.459505064,NA,4.24,68.91
